Akbara_Chakravartiya_Charitra
Premachandra_Raajavilaase
Prema_Mandira
Puurnakalaa_10
Raajaa_Raamamoohana_Raaya_Charitre
RaajaShri_Parashuraamaraava_Bhaavuusaaheba
Raamadaasa_Svaamigala_Charitrapu
Raamaraajya_Enbiigrantha
RaanaRajasimha
Raaychuuru_Vijaya_1_Bhaaga
Raghukula_Charitan_Bhaaga_1
Raghukula_Charitan
Ramaananda
Saahitya1924
Samaajarahasya_Dvitiiya_Pushhpa
Samati_Madanakumaarara_Charitra
Satyavatii_Charitre
Shaktimayii
Shankara_Kathaasaara
Shivaprabhuvina_Punya_Grantha_13
Shrigitagopalm
ShriKrishnaliile_Dvitiiya_Kusuma
Shrimatii_Parinaya_Naatakan
ShriraamaKrishna_Paramahansara_Charitre
Shuurasena_Charitre
Siitaa_Charitre
Srikrishnabodhamruthasara
Suvarnasundari
Tiloottame
Vasantamitravijayanatakam
Vatsaraajana_Katha_1_10
Vatsaraajana_Kathe
Veniibandhana
Vidyaarthi_Karakhoshhana
Vikramoorvasheya_Naatakan_Vol_II
